Shelf ID,Description,Location_x (center),Location_y (center),Width,Height_x,Length,Number of items,Shape,Person ID,Timestamp,Age,Gender,Height_y,Weight,Married status,Moving speed (m/s),Item ID,Looking at item (s),Holding the item (s),Holding the bag,Picking up item,Returning item,Putting item into bag,Taking item out of bag,Putting item into bag in the 2nd time,Name,Origin,Location,Weight (g),Price,NSX,HSD,Marketing strategy,Discount ,Rate
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,2,1720262220,55,Female,150,54,Single,1.35,9,23,22,True,True,True,False,False,False,Socola trứng Kinder,Ý,Thấp,20.0,"28,500 ₫",2023-11-01,2024-11-30,False,10,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,2,1720262280,55,Female,150,54,Single,0.46,10,29,28,True,True,True,False,True,False,Kẹo dẻo Alphelibe,Vietnam,Thấp,73.5,"15,300 ₫",2023-08-22,2024-08-22,False,15,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,2,1720262460,55,Female,150,54,Single,1.06,12,17,34,True,True,True,,True,True,Kẹo Haribo charshmallows,Vietnam,Thấp,70.0,"28,500 ₫",2023-10-30,2024-07-06,False,0,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,2,1720262700,55,Female,150,54,Single,0.86,6,34,39,True,True,True,,,,Bim bim Oishi,Vietnam,Trung bình,70.0,"12,000 ₫",2024-06-25,2025-05-08,False,5,5
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,2,1720262760,55,Female,150,54,Single,0.78,5,38,22,True,True,False,False,True,True,Hạt hướng dương Chacheer,Vietnam,Trung bình,130.0,"25,000 ₫",2024-08-05,2024-11-24,False,5,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,4,1720262100,70,Male,175,77,Married,1.37,5,22,23,False,True,False,False,True,False,Hạt hướng dương Chacheer,Vietnam,Trung bình,130.0,"25,000 ₫",2024-08-05,2024-11-24,False,5,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,4,1720262340,70,Male,175,77,Married,1.37,0,15,30,False,True,False,True,False,True,Bánh Oreo,Vietnam,Cao,120.0,"17,500 ₫",2023-11-14,2024-10-17,False,10,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,4,1720262400,70,Male,175,77,Married,1.22,8,33,37,False,True,False,True,True,True,Bánh gạo Richi,Vietnam,Cao,168.0,"39,000 ₫",2023-10-03,2024-01-11,False,0,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,4,1720262580,70,Male,175,77,Married,0.52,1,31,28,False,True,True,True,False,True,Bánh Chocopie,Vietnam,Cao,396.0,"48,000 ₫",2023-10-07,2024-09-16,False,0,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,4,1720262640,70,Male,175,77,Married,0.61,6,23,38,False,True,False,False,False,False,Bim bim Oishi,Vietnam,Trung bình,70.0,"12,000 ₫",2024-06-25,2025-05-08,False,5,5
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,7,1720263780,68,Female,151,55,Married,1.11,8,24,21,True,True,True,,,,Bánh gạo Richi,Vietnam,Cao,168.0,"39,000 ₫",2023-10-03,2024-01-11,False,0,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,7,1720264080,68,Female,151,55,Married,1.01,8,15,27,True,True,False,True,False,True,Bánh gạo Richi,Vietnam,Cao,168.0,"39,000 ₫",2023-10-03,2024-01-11,False,0,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,7,1720264140,68,Female,151,55,Married,0.91,8,19,18,True,True,True,True,False,True,Bánh gạo Richi,Vietnam,Cao,168.0,"39,000 ₫",2023-10-03,2024-01-11,False,0,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,7,1720264200,68,Female,151,55,Married,0.29,4,39,18,True,True,True,False,True,False,Bánh trứng Custard,Thái Lan,Trung bình,46.0,"17,000 ₫",2023-10-30,2024-04-16,True,10,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,7,1720264920,68,Female,151,55,Married,1.14,5,16,24,True,True,True,False,False,True,Hạt hướng dương Chacheer,Vietnam,Trung bình,130.0,"25,000 ₫",2024-08-05,2024-11-24,False,5,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,10,1720265520,32,Female,161,43,Married,1.44,0,20,36,False,True,True,False,False,True,Bánh Oreo,Vietnam,Cao,120.0,"17,500 ₫",2023-11-14,2024-10-17,False,10,4
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,10,1720265640,32,Female,161,43,Married,1.06,2,15,32,False,True,True,,True,False,Kẹo cao su Cool Air Fresh,Vietnam,Trung bình,40.0,"40,000 ₫",2024-06-02,2026-06-02,False,0,3
0,Quầy bánh kẹo,1100,550,300,180,300,13,Quầy tròn,10,1720265880,32,Female,161,43,Married,0.7,5,17,38,False,True,False,False,,True,Hạt hướng dương Chacheer,Vietnam,Trung bình,130.0,"25,000 ₫",2024-08-05,2024-11-24,False,5,3
